# Parámetros:  ./calcular_cdt 16 2000 QUI ALE 1000
# Ejecutando orden:  ./gen_traza QUI ALE 1000
#
#         Posición       Intervalo        Páginas       Págs/op.
#
               0            2000              63        0.031500
            2000            2000              26        0.013000
            4000            2000              43        0.021500
            6000            2000              15        0.007500
            8000            2000              37        0.018500
           10000            2000              30        0.015000
           12000            2000              21        0.010500
           14000            1917              13        0.006781
