# Parámetros:  ./calcular_cdt 16 2000 INS ALE 1000
# Ejecutando orden:  ./gen_traza INS ALE 1000
#
#         Posición       Intervalo        Páginas       Págs/op.
#
          444000            2000              27        0.013500
          446000            2000              48        0.024000
          448000            2000              37        0.018500
          450000            2000              48        0.024000
          452000            2000              42        0.021000
          454000            2000              53        0.026500
          456000            2000              52        0.026000
          458000            2000              33        0.016500
          460000            2000              55        0.027500
          462000            2000              33        0.016500
          464000            2000              60        0.030000
          466000            2000              51        0.025500
          468000            2000              47        0.023500
          470000            2000              34        0.017000
          472000            2000              49        0.024500
          474000            2000              59        0.029500
          476000            2000              47        0.023500
          478000            2000              42        0.021000
          480000            2000              52        0.026000
          482000            2000              29        0.014500
          484000            2000              54        0.027000
          486000            2000              42        0.021000
          488000            2000              49        0.024500
          490000            2000              51        0.025500
          492000            2000              39        0.019500
          494000             485              16        0.032990
