# Parámetros:  ./calcular_cdt 16 2000 SEL ALE 1000
# Ejecutando orden:  ./gen_traza SEL ALE 1000
#
#         Posición       Intervalo        Páginas       Págs/op.
#
          444000            2000              22        0.011000
          446000            2000              22        0.011000
          448000            2000              21        0.010500
          450000            2000              21        0.010500
          452000            2000              21        0.010500
          454000            2000              20        0.010000
          456000            2000              20        0.010000
          458000            2000              19        0.009500
          460000            2000              19        0.009500
          462000            2000              19        0.009500
          464000            2000              18        0.009000
          466000            2000              18        0.009000
          468000            2000              17        0.008500
          470000            2000              17        0.008500
          472000            2000              16        0.008000
          474000            2000              16        0.008000
          476000            2000              15        0.007500
          478000            2000              15        0.007500
          480000            2000              14        0.007000
          482000            2000              13        0.006500
          484000            2000              13        0.006500
          486000            2000              12        0.006000
          488000            2000              11        0.005500
          490000            2000              11        0.005500
          492000            2000              10        0.005000
          494000            2000               9        0.004500
          496000            2000               8        0.004000
          498000            2000               7        0.003500
          500000            2000               5        0.002500
          502000             497               3        0.006036
