# Parámetros:  ./calcular_cdt 1 80 HEA DES 100
# Ejecutando orden:  ./gen_traza HEA DES 100
#
#         Posición       Intervalo        Páginas       Págs/op.
#
               0              80              35        0.437500
              80              80              35        0.437500
             160              80              35        0.437500
             240              80              36        0.450000
             320              80              35        0.437500
             400              80              33        0.412500
             480              80              23        0.287500
             560              80              28        0.350000
             640              80              38        0.475000
             720              80              31        0.387500
             800              80              29        0.362500
             880              80              32        0.400000
             960              80              21        0.262500
            1040              80              31        0.387500
            1120              80              24        0.300000
            1200              80              29        0.362500
            1280              80              17        0.212500
            1360              80              21        0.262500
            1440              80              17        0.212500
            1520              80              26        0.325000
            1600              80              16        0.200000
            1680              80              23        0.287500
            1760              80              26        0.325000
            1840              80              18        0.225000
            1920              80              21        0.262500
            2000              80              25        0.312500
            2080              80              23        0.287500
            2160              80              16        0.200000
            2240              80              15        0.187500
            2320              67               8        0.119403
