# Parámetros:  ./calcular_cdt 16 32 MER DES 10000
# Ejecutando orden:  ./gen_traza MER DES 10000
#
#         Posición       Intervalo        Páginas       Págs/op.
#
            7744              32               2        0.062500
            7776              32               2        0.062500
            7808              32               2        0.062500
            7840              32               2        0.062500
            7872              32               2        0.062500
            7904              32               2        0.062500
            7936              32               2        0.062500
            7968              32               2        0.062500
            8000              32               2        0.062500
            8032              32               2        0.062500
            8064              32               2        0.062500
            8096              32               2        0.062500
            8128              32               2        0.062500
            8160              32               2        0.062500
            8192              32               2        0.062500
            8224              32               2        0.062500
            8256              32               2        0.062500
            8288              32               2        0.062500
            8320              32               2        0.062500
            8352              32               2        0.062500
            8384              32               2        0.062500
            8416              32               2        0.062500
            8448              32               2        0.062500
            8480              32               2        0.062500
            8512              32               2        0.062500
            8544              32               2        0.062500
            8576              32               2        0.062500
            8608              32               2        0.062500
            8640              32               2        0.062500
            8672              32               2        0.062500
            8704              32               2        0.062500
            8736              32               2        0.062500
            8768              32               2        0.062500
            8800              32               2        0.062500
            8832              32               2        0.062500
            8864              32               2        0.062500
            8896              32               2        0.062500
            8928              32               2        0.062500
            8960              32               2        0.062500
            8992              32               2        0.062500
            9024              32               2        0.062500
            9056              32               2        0.062500
            9088              32               2        0.062500
            9120              32               2        0.062500
            9152              32               2        0.062500
            9184              32               2        0.062500
            9216              32               2        0.062500
            9248              32               2        0.062500
            9280              32               2        0.062500
            9312              32               2        0.062500
            9344              32               2        0.062500
            9376              32               2        0.062500
            9408              32               2        0.062500
            9440              32               2        0.062500
            9472              32               2        0.062500
            9504              32               2        0.062500
            9536              32               2        0.062500
            9568              32               2        0.062500
            9600              32               2        0.062500
            9632              32               2        0.062500
            9664              32               2        0.062500
            9696              32               2        0.062500
            9728              32               2        0.062500
            9760              32               2        0.062500
            9792              32               2        0.062500
            9824              32               2        0.062500
            9856              32               2        0.062500
            9888              32               2        0.062500
            9920              32               2        0.062500
            9952              32               2        0.062500
            9984              32               2        0.062500
           10016              32               2        0.062500
           10048              32               2        0.062500
           10080              32               2        0.062500
           10112              32               2        0.062500
           10144              32               2        0.062500
           10176              32               2        0.062500
           10208              32               2        0.062500
           10240              32               2        0.062500
           10272              32               2        0.062500
           10304              32               2        0.062500
           10336              32               2        0.062500
           10368              32               2        0.062500
           10400              32               2        0.062500
           10432              32               2        0.062500
           10464              32               2        0.062500
           10496              32               2        0.062500
           10528              32               2        0.062500
