# Parámetros:  ./calcular_cdt 16 8 HEA DES 1000
# Ejecutando orden:  ./gen_traza HEA DES 1000
#
#         Posición       Intervalo        Páginas       Págs/op.
#
               0               8               2        0.250000
               8               8               2        0.250000
              16               8               2        0.250000
              24               8               4        0.500000
              32               8               2        0.250000
              40               8               2        0.250000
              48               8               2        0.250000
              56               8               2        0.250000
              64               8               2        0.250000
              72               8               2        0.250000
              80               8               3        0.375000
              88               8               2        0.250000
              96               8               2        0.250000
             104               8               2        0.250000
             112               8               2        0.250000
             120               8               2        0.250000
             128               8               2        0.250000
             136               8               4        0.500000
             144               8               2        0.250000
             152               8               2        0.250000
             160               8               2        0.250000
             168               8               2        0.250000
             176               8               2        0.250000
             184               8               2        0.250000
             192               8               3        0.375000
             200               8               2        0.250000
             208               8               2        0.250000
             216               8               2        0.250000
             224               8               2        0.250000
             232               8               2        0.250000
             240               8               2        0.250000
             248               8               4        0.500000
             256               8               2        0.250000
             264               8               2        0.250000
             272               8               2        0.250000
             280               8               2        0.250000
             288               8               2        0.250000
             296               8               2        0.250000
             304               8               3        0.375000
             312               8               2        0.250000
             320               8               2        0.250000
             328               8               2        0.250000
             336               8               2        0.250000
             344               8               2        0.250000
             352               8               2        0.250000
             360               8               4        0.500000
             368               8               2        0.250000
             376               8               2        0.250000
             384               8               2        0.250000
             392               8               2        0.250000
             400               8               2        0.250000
             408               8               2        0.250000
             416               8               3        0.375000
             424               8               2        0.250000
             432               8               2        0.250000
             440               8               2        0.250000
             448               8               2        0.250000
             456               8               2        0.250000
             464               8               2        0.250000
             472               8               4        0.500000
             480               8               2        0.250000
             488               8               2        0.250000
             496               8               2        0.250000
             504               8               2        0.250000
             512               8               2        0.250000
             520               8               2        0.250000
             528               8               3        0.375000
             536               8               2        0.250000
             544               8               2        0.250000
             552               8               2        0.250000
             560               8               2        0.250000
             568               8               2        0.250000
             576               8               2        0.250000
             584               8               4        0.500000
             592               8               2        0.250000
             600               8               2        0.250000
             608               8               2        0.250000
             616               8               2        0.250000
             624               8               2        0.250000
             632               8               2        0.250000
             640               8               3        0.375000
             648               8               2        0.250000
             656               8               2        0.250000
             664               8               2        0.250000
             672               8               2        0.250000
             680               8               2        0.250000
             688               8               2        0.250000
             696               8               4        0.500000
             704               8               2        0.250000
             712               8               2        0.250000
             720               8               2        0.250000
             728               8               2        0.250000
             736               8               2        0.250000
             744               8               2        0.250000
             752               8               3        0.375000
             760               8               2        0.250000
             768               8               2        0.250000
             776               8               2        0.250000
             784               8               2        0.250000
             792               8               2        0.250000
             800               8               2        0.250000
             808               8               4        0.500000
             816               8               2        0.250000
             824               8               2        0.250000
             832               8               2        0.250000
             840               8               2        0.250000
             848               8               2        0.250000
             856               8               2        0.250000
             864               8               3        0.375000
             872               8               2        0.250000
             880               8               2        0.250000
             888               8               2        0.250000
             896               8               2        0.250000
             904               8               2        0.250000
             912               8               2        0.250000
             920               8               4        0.500000
             928               8               2        0.250000
             936               8               2        0.250000
             944               8               2        0.250000
             952               8               2        0.250000
             960               8               2        0.250000
             968               8               2        0.250000
             976               8               3        0.375000
             984               8               2        0.250000
             992               8               2        0.250000
            1000               8               2        0.250000
            1008               8               2        0.250000
            1016               8               2        0.250000
            1024               8               2        0.250000
            1032               8               4        0.500000
            1040               8               2        0.250000
            1048               8               2        0.250000
            1056               8               2        0.250000
            1064               8               2        0.250000
            1072               8               2        0.250000
            1080               8               2        0.250000
            1088               8               3        0.375000
            1096               8               2        0.250000
            1104               8               2        0.250000
            1112               8               2        0.250000
            1120               8               2        0.250000
            1128               8               2        0.250000
            1136               8               2        0.250000
            1144               8               4        0.500000
